Approach,Parameters,Epochs,Last train loss,Best validation loss,Time,Train Batch Size,Validation Batch Size,Patience,Factor,hidden_size_node,hidden_size_edge,message_passing_steps,skip_connections,edge_connections,augment_nodes,augment_edges,global_features
LU,2336,100,14.67944789,7.004573822,38.0625883,5,1,5,1,8,14,5,TRUE,FALSE,TRUE,[True],0
LU,2806,100,14.16640005,6.780121899,38.9711543,5,1,5,1,8,14,6,TRUE,FALSE,TRUE,[True],0
LU,3276,100,14.0396606,6.763827944,40.5345664,5,1,5,1,8,14,7,TRUE,FALSE,TRUE,[True],0
LU,3746,100,14.80987716,6.529734421,43.3849077,5,1,5,1,8,14,8,TRUE,FALSE,TRUE,[True],0
LU,1120,100,16.69824376,7.695277023,37.013042,5,1,5,1,10,8,3,TRUE,FALSE,TRUE,[True],0
LU,1496,100,16.07382336,7.30268116,37.7780279,5,1,5,1,10,8,4,TRUE,FALSE,TRUE,[True],0
LU,1872,100,15.67142735,7.094905996,39.944892,5,1,5,1,10,8,5,TRUE,FALSE,TRUE,[True],0
LU,2248,100,15.46269403,7.325412083,41.2112261,5,1,5,1,10,8,6,TRUE,FALSE,TRUE,[True],0
LU,2624,100,14.84506922,6.917615318,40.6515268,5,1,5,1,10,8,7,TRUE,FALSE,TRUE,[True],0
LU,3000,100,15.63476086,7.338628864,40.3075186,5,1,5,1,10,8,8,TRUE,FALSE,TRUE,[True],0
LU,1250,100,16.33050709,7.340763378,35.0940792,5,1,5,1,10,10,3,TRUE,FALSE,TRUE,[True],0
LU,1670,100,15.14576154,7.286131382,37.6799032,5,1,5,1,10,10,4,TRUE,FALSE,TRUE,[True],0
LU,2090,100,14.73489032,6.944829321,38.7516942,5,1,5,1,10,10,5,TRUE,FALSE,TRUE,[True],0
LU,2510,100,14.4152277,6.787276745,39.6117082,5,1,5,1,10,10,6,TRUE,FALSE,TRUE,[True],0
LU,2930,100,14.53518205,6.517997503,39.026482,5,1,5,1,10,10,7,TRUE,FALSE,TRUE,[True],0
LU,3350,100,14.38609343,6.507194185,39.9772979,5,1,5,1,10,10,8,TRUE,FALSE,TRUE,[True],0
LU,1380,100,17.22562838,7.983467817,34.9910199,5,1,5,1,10,12,3,TRUE,FALSE,TRUE,[True],0
LU,1844,100,17.44025626,8.023948812,36.7368412,5,1,5,1,10,12,4,TRUE,FALSE,TRUE,[True],0
LU,2308,100,15.27700706,6.967846727,38.7833126,5,1,5,1,10,12,5,TRUE,FALSE,TRUE,[True],0
LU,2772,100,16.49210615,7.374993563,40.7706187,5,1,5,1,10,12,6,TRUE,FALSE,TRUE,[True],0
LU,3236,100,14.50077486,6.569979,41.9297751,5,1,5,1,10,12,7,TRUE,FALSE,TRUE,[True],0
LU,3700,100,15.73293033,7.060337353,43.928631,5,1,5,1,10,12,8,TRUE,FALSE,TRUE,[True],0
LU,1510,100,16.52034674,7.668235683,39.9196405,5,1,5,1,10,14,3,TRUE,FALSE,TRUE,[True],0
LU,2018,100,14.45379801,6.664471102,39.9924356,5,1,5,1,10,14,4,TRUE,FALSE,TRUE,[True],0
LU,2526,100,15.75446029,7.056966829,35.7468489,5,1,5,1,10,14,5,TRUE,FALSE,TRUE,[True],0
LU,3034,100,13.00957618,6.450481653,37.5443283,5,1,5,1,10,14,6,TRUE,FALSE,TRUE,[True],0
LU,3542,100,16.25972586,7.569162798,38.9345067,5,1,5,1,10,14,7,TRUE,FALSE,TRUE,[True],0
LU,4050,100,14.91004834,7.046137238,39.9759329,5,1,5,1,10,14,8,TRUE,FALSE,TRUE,[True],0
